engineering - computer science - bs, BSinCS 
business  administration - info systems - bba, BAinBA
computer science - mn, MNinCS
mathematical sciences - mn, MNinMathS
physics - mn, MNinPY
history - mn, MNinHist
natural & app sciences - sm, SMinNAS
